metrics_id,match_pk,match_riot_id,puuid,nick,tag,team_position,win,champion_name,kda,dmg_per_min,gold_per_min,cs_per_min,kp,dmg_taken_per_min,deaths_per_min,xp_per_min,vision_per_min,cc_per_min,final_score,created_at
453,130,BR1_3153382939,-TLHRw4hWBqywEmFjT6QtnVltXdCnIr_PpCPymjwuQw0ZMaaeiaaFjPrBwKuzUFVYQNO7BA02M-xwg,Asta,PRG,TOP,0,Vladimir,0.8571428571428571,686.0794638583053,342.1924365725227,5.169937769267592,0.42857142857142855,1317.9607467687888,0.4021062709430349,449.985639061752,0.3159406414552417,3.8857252273815224,19.879190314571417,
454,130,BR1_3153382939,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,Rebeca Diana,egirl,JUNGLE,0,Volibear,1.7777777777777777,566.2805169937769,391.04834849210147,5.227381522259454,0.5714285714285714,1501.5222594542843,0.2584968884633796,476.8980373384394,0.43082814743896597,12.472359980852081,44.80239945591889,
455,130,BR1_3153382939,MqfeJwfejg08ue7fj9dekS8_JzrE9rR-TSP10BnZmalMBf6dNjS4R6C3ZPGE5W1otUuQanzwS5FUvw,Sugiro Correr,BR1,BOTTOM,0,Jinx,2.5714285714285716,765.1507898516036,476.1512685495452,8.472953566299664,0.6428571428571429,865.9071325993298,0.20105313547151746,490.36859741503105,0.890378171373863,3.7443274293920537,43.90419361141702,
456,130,BR1_3153382939,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,Murakami UHULL,br1,UTILITY,0,Morgana,2.375,809.1239827668741,309.42077549066533,1.4935375777884154,0.6785714285714286,886.1560555289611,0.2297750119674485,408.4538056486357,1.0627094303494493,3.853528003829583,27.766114359579092,
449,129,BR1_3153746866,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g,Faisca,pregu,JUNGLE,1,Rammus,15.0,392.0810313075507,368.2136279926335,5.70902394106814,0.38461538461538464,1081.473296500921,0.03683241252302026,482.24677716390426,0.22099447513812157,12.935064456721916,61.02452232103017,
450,129,BR1_3153746866,-TLHRw4hWBqywEmFjT6QtnVltXdCnIr_PpCPymjwuQw0ZMaaeiaaFjPrBwKuzUFVYQNO7BA02M-xwg,Asta,PRG,TOP,1,Darius,1.6666666666666667,666.2983425414365,346.29834254143645,4.567219152854512,0.2564102564102564,946.1878453038674,0.22099447513812157,449.097605893186,0.3683241252302026,4.821657458563536,29.364087814571366,
451,129,BR1_3153746866,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw,Gabinho,INTEN,BOTTOM,1,Jinx,3.6,654.8434622467772,483.13075506445676,7.10865561694291,0.46153846153846156,731.1602209944751,0.1841620626151013,468.8029465930019,0.40515653775322286,1.8668139963167587,41.34535081034344,
452,129,BR1_3153746866,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,Rebeca Diana,egirl,UTILITY,1,Neeko,5.75,893.2228360957644,398.3425414364641,2.283609576427256,0.5897435897435898,667.6979742173113,0.14732965009208104,437.0902394106814,1.141804788213628,6.051344383057091,52.84961124125864,
388,112,BR1_3159928938,_eVUuWwFBVCqzWIEXNmQH0XEmFfxzykM7jwhWQlj5Da4Gd_TQMMzUlfMAcEcLob0iUkbz9YL3irhKA,Ezfalse,br1,TOP,1,Shen,5.4,890.0875273522977,397.38512035010945,5.0875273522975935,0.54,1338.6433260393874,0.1641137855579869,541.5098468271335,4.792122538293217,8.562111597374178,75.74976436972001,
389,112,BR1_3159928938,GMjVGiF4ek8-TS1TKX4lpzCWbn4SE5XYxhDitKCBEb34cgrZkI1EO8gD06fuNkGYv8MOp9DJZO581Q,Naguinha,INTEN,JUNGLE,1,Rengar,3.8,894.4201312910285,487.1225382932167,6.991247264770241,0.38,1311.7943107221008,0.1641137855579869,596.9474835886215,0.2954048140043764,7.797144420131291,64.81644286609634,
390,112,BR1_3159928938,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA,O Magro de OZ,BR1,MIDDLE,1,Annie,5.2,884.3107221006564,488.66520787746174,5.153172866520788,0.52,579.6170678336981,0.1641137855579869,541.4770240700219,0.2954048140043764,8.4427352297593,64.82670389801542,
391,112,BR1_3159928938,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw,Gabinho,INTEN,BOTTOM,1,Caitlyn,2.3,1030.5032822757112,496.8380743982495,6.433260393873086,0.46,776.2910284463895,0.3282275711159738,486.7943107221007,0.42669584245076586,3.622352297592998,46.23830899167991,
392,112,BR1_3159928938,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,Murakami UHULL,br1,UTILITY,1,Morgana,3.5555555555555554,581.6849015317287,354.51859956236325,0.9190371991247265,0.64,843.347921225383,0.2954048140043764,434.40919037199126,0.8205689277899344,7.915667396061269,38.75617140603812,
444,128,BR1_3162347064,UPjw6-Q5wW-k1t92aJaessYuU7OQig1rk0v3ALiDpsxHwkwVHCUtrZ-nzcjCQKmM-WHvf9fPx408ZA,Sylas 1v9,BR1,TOP,0,Sylas,1.2,736.2049861495844,328.9196675900277,5.069252077562327,0.8,1125.9972299168976,0.41551246537396125,420.62326869806094,0.24930747922437674,9.334362880886426,36.08092124157811,
